"filename", "language", "JSON", "TypeScript", "TypeScript JSX", "JSON with Comments", "XML", "Markdown", "JavaScript", "WebAssembly Text Format", "HTML", "Prisma", "CSS", "Properties", "comment", "blank", "total"
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\components\admin\loading-admin.tsx", "TypeScript JSX", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 20
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\components\admin\react-quill-component.tsx", "TypeScript JSX", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 43
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\components\admin\rimorchi\all-rimorchi-data-table.tsx", "TypeScript JSX", 0, 0, 141, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 9, 168
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\components\admin\rimorchi\new-rimorchio-btn.tsx", "TypeScript JSX", 0, 0, 169, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13, 184
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\components\admin\rimorchi\rimorchi-column.tsx", "TypeScript JSX", 0, 0, 262, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 272
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\components\admin\rimorchi\rimorchio\all-category-table.tsx", "TypeScript JSX", 0, 0, 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 9, 163
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\components\admin\rimorchi\rimorchio\categoria\all-variant-table.tsx", "TypeScript JSX", 0, 0, 152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 9, 179
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\components\admin\rimorchi\rimorchio\categoria\delete-category-btn.tsx", "TypeScript JSX", 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 80
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\components\admin\rimorchi\rimorchio\categoria\edit-category.tsx", "TypeScript JSX", 0, 0, 177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18, 197
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\components\admin\rimorchi\rimorchio\categoria\new-variant-btn.tsx", "TypeScript JSX", 0, 0, 168, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 181
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\components\admin\rimorchi\rimorchio\categoria\variant-column.tsx", "TypeScript JSX", 0, 0, 335, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 342
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\components\admin\rimorchi\rimorchio\categoria\variante\color-column.tsx", "TypeScript JSX", 0, 0, 331, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 343
